model,variant,color,fuel_type,transmission,price,manufacture_date,sale_date,state,mileage,engine_capacity,battery_capacity,charging_time,seating_capacity,ground_clearance,boot_space
Tesla Cybertruck,Long Range,Solid Black,Electric,Automatic,71260.9,2025-07-21,2025-08-25,Connecticut,295.1,0,94.7,7.8,5,153.1,538
Tesla Model 3,Performance,Pearl White,Electric,Automatic,41672.65,2025-05-05,2025-07-26,New Jersey,298.4,0,60.4,9.4,5,154.3,492
Tesla Model S,Performance,Solid Black,Electric,Automatic,81832.55,2025-11-11,2026-01-02,Massachusetts,390.9,0,69.4,10.4,5,162.7,426
Tesla Model S,Plaid,Pearl White,Electric,Automatic,99374.55,2025-01-10,2025-02-06,Nevada,346.5,0,66.8,3.3,5,148.4,610
Tesla Model S,Plaid,Red Multi-Coat,Electric,Automatic,83734.4,2024-08-19,2024-08-25,Washington,334.1,0,80.9,11.7,5,144.0,433
Tesla Cybertruck,Long Range,Red Multi-Coat,Electric,Automatic,76867.54,2026-03-04,2026-05-11,New Jersey,459.1,0,77.6,8.3,5,152.8,440
Tesla Model Y,Plaid,Red Multi-Coat,Electric,Automatic,61597.4,2026-02-20,2026-03-06,Texas,293.4,0,68.4,2.6,7,145.8,632
Tesla Model 3,Plaid,Red Multi-Coat,Electric,Automatic,40613.0,2024-03-28,2024-03-30,Maryland,305.4,0,98.1,2.5,5,146.2,631
Tesla Cybertruck,Long Range,Midnight Silver Metallic,Electric,Automatic,76209.82,2025-09-24,2025-10-17,Oregon,462.8,0,95.6,5.7,5,155.0,637
Tesla Model 3,Performance,Stealth Grey,Electric,Automatic,51571.1,2024-06-05,2024-07-15,Florida,329.6,0,90.8,1.1,5,164.5,460
Tesla Roadster,Long Range,Midnight Silver Metallic,Electric,Automatic,217665.45,2024-12-06,2025-02-06,Connecticut,602.9,0,96.7,0.7,5,162.1,551
Tesla Cybertruck,Performance,Pearl White,Electric,Automatic,59719.07,2026-02-19,2026-03-11,Oregon,456.4,0,86.9,7.9,5,150.1,618
Tesla Model X,Long Range,Stealth Grey,Electric,Automatic,126635.08,2024-12-29,2025-02-10,Washington,311.2,0,97.4,6.3,7,159.7,805
Tesla Model Y,Performance,Solid Black,Electric,Automatic,69350.15,2025-09-04,2025-09-26,Maryland,329.3,0,93.7,6.0,7,149.8,763
Tesla Model S,Standard Range,Solid Black,Electric,Automatic,90189.82,2024-09-08,2024-09-09,Virginia,375.4,0,93.6,10.7,5,151.4,621
Tesla Model S,Standard Range,Midnight Silver Metallic,Electric,Automatic,81634.83,2025-09-29,2025-10-13,Virginia,360.4,0,91.2,3.3,5,164.5,433
Tesla Roadster,Long Range,Solid Black,Electric,Automatic,213471.66,2024-06-03,2024-07-03,Florida,464.7,0,66.5,7.4,5,154.5,547
Tesla Model S,Long Range,Deep Blue Metallic,Electric,Automatic,86744.02,2025-08-25,2025-10-08,Nevada,360.6,0,99.4,1.8,5,152.6,532
Tesla Model X,Standard Range,Solid Black,Electric,Automatic,121298.29,2024-08-21,2024-09-09,Arizona,315.4,0,62.3,1.8,7,154.4,524
Tesla Roadster,Long Range,Pearl White,Electric,Automatic,231335.3,2025-06-19,2025-08-07,Virginia,549.8,0,79.3,11.1,5,163.5,448
Tesla Model Y,Performance,Pearl White,Electric,Automatic,50185.9,2024-04-04,2024-05-16,Washington,298.4,0,94.5,8.0,7,161.8,720
Tesla Model 3,Plaid,Pearl White,Electric,Automatic,39939.06,2024-04-11,2024-06-27,Oregon,327.9,0,67.1,7.9,5,141.8,580
Tesla Model Y,Performance,Stealth Grey,Electric,Automatic,45081.81,2024-11-16,2025-02-07,New York,294.3,0,73.9,5.0,7,165.3,772
Tesla Model S,Standard Range,Ultra Red,Electric,Automatic,83453.58,2025-10-29,2025-11-06,Texas,345.7,0,65.8,8.5,5,153.2,591
Tesla Roadster,Long Range,Ultra Red,Electric,Automatic,223458.66,2025-05-25,2025-08-14,California,427.7,0,68.7,6.4,5,145.5,453
Tesla Model 3,Standard Range,Pearl White,Electric,Automatic,53855.85,2026-01-23,2026-04-08,Colorado,296.8,0,71.1,8.8,5,152.9,520
Tesla Model X,Standard Range,Stealth Grey,Electric,Automatic,116034.24,2024-08-23,2024-11-19,Colorado,325.1,0,77.4,9.7,7,141.3,566
Tesla Model S,Performance,Solid Black,Electric,Automatic,76513.15,2025-01-28,2025-03-07,Colorado,352.5,0,63.4,8.7,5,160.4,536
Tesla Roadster,Long Range,Solid Black,Electric,Automatic,212784.42,2025-01-10,2025-03-07,Massachusetts,400.4,0,76.8,0.7,5,152.2,432
Tesla Model Y,Performance,Solid Black,Electric,Automatic,52523.02,2024-08-26,2024-11-01,Washington,268.2,0,76.9,0.7,7,150.1,689
Tesla Model X,Standard Range,Ultra Red,Electric,Automatic,100758.83,2025-10-17,2025-12-02,Nevada,316.3,0,70.8,10.1,7,167.5,743
Tesla Cybertruck,Plaid,Solid Black,Electric,Automatic,70615.83,2025-02-03,2025-02-15,Texas,437.9,0,86.2,0.9,5,146.7,641
Tesla Model 3,Long Range,Deep Blue Metallic,Electric,Automatic,46389.38,2024-04-04,2024-04-22,Massachusetts,270.6,0,95.9,7.8,5,150.7,448
Tesla Model S,Long Range,Red Multi-Coat,Electric,Automatic,116327.17,2025-10-13,2025-12-29,California,333.7,0,89.4,7.7,5,163.9,515
Tesla Model Y,Plaid,Pearl White,Electric,Automatic,57051.29,2025-05-21,2025-07-10,Washington,285.4,0,67.9,8.4,7,145.9,811
Tesla Model 3,Long Range,Pearl White,Electric,Automatic,44381.8,2025-06-13,2025-06-30,Illinois,273.2,0,99.7,11.6,5,143.2,583
Tesla Model X,Long Range,Stealth Grey,Electric,Automatic,100671.45,2025-08-04,2025-09-24,Washington,344.0,0,77.3,5.8,7,155.6,704
Tesla Model X,Plaid,Stealth Grey,Electric,Automatic,93488.05,2024-08-28,2024-09-22,New Jersey,311.0,0,92.1,1.1,7,156.4,695
Tesla Model Y,Performance,Deep Blue Metallic,Electric,Automatic,48332.08,2025-03-01,2025-05-14,Illinois,308.5,0,84.0,11.3,7,151.6,805
Tesla Model X,Plaid,Deep Blue Metallic,Electric,Automatic,87704.03,2024-05-16,2024-05-20,Illinois,343.5,0,72.5,9.6,7,168.9,592
Tesla Model X,Performance,Stealth Grey,Electric,Automatic,92901.04,2025-10-07,2025-12-24,Illinois,309.8,0,70.7,11.7,7,162.6,576
Tesla Model S,Performance,Ultra Red,Electric,Automatic,94608.61,2024-10-07,2024-10-16,Massachusetts,349.7,0,76.1,10.1,5,160.1,476
Tesla Model X,Standard Range,Midnight Silver Metallic,Electric,Automatic,119446.83,2025-06-15,2025-08-08,Colorado,335.7,0,78.1,6.8,7,140.2,427
Tesla Model S,Plaid,Ultra Red,Electric,Automatic,113501.5,2025-12-28,2026-02-25,Massachusetts,334.0,0,78.3,4.2,5,154.2,485
Tesla Cybertruck,Performance,Solid Black,Electric,Automatic,75694.03,2024-10-17,2025-01-14,Arizona,372.7,0,96.8,1.9,5,158.8,609
Tesla Model Y,Performance,Ultra Red,Electric,Automatic,51665.07,2025-04-03,2025-06-21,Illinois,315.8,0,76.7,9.8,7,168.7,627
Tesla Roadster,Standard Range,Midnight Silver Metallic,Electric,Automatic,212426.89,2025-12-18,2026-03-06,Virginia,413.1,0,72.8,10.3,5,141.1,598
Tesla Model Y,Long Range,Solid Black,Electric,Automatic,44728.95,2025-07-11,2025-09-15,California,286.1,0,80.3,1.2,7,144.0,697
Tesla Model 3,Long Range,Midnight Silver Metallic,Electric,Automatic,51791.32,2026-01-21,2026-04-15,New Jersey,289.0,0,85.1,3.8,5,149.8,438
Tesla Model 3,Performance,Midnight Silver Metallic,Electric,Automatic,50527.81,2025-08-29,2025-10-16,Oregon,269.9,0,94.4,4.8,5,162.5,492
Tesla Model Y,Performance,Stealth Grey,Electric,Automatic,47388.41,2024-06-29,2024-06-30,New York,277.4,0,72.6,8.8,7,146.1,812
Tesla Model X,Plaid,Red Multi-Coat,Electric,Automatic,123078.11,2024-06-09,2024-09-01,Connecticut,323.0,0,96.3,6.2,7,169.0,504
Tesla Roadster,Long Range,Midnight Silver Metallic,Electric,Automatic,203518.23,2024-11-03,2024-11-26,Maryland,454.6,0,61.4,1.3,5,156.0,581
Tesla Model Y,Plaid,Ultra Red,Electric,Automatic,56628.82,2024-12-29,2025-03-19,Oregon,262.4,0,83.8,1.2,7,140.1,529
Tesla Cybertruck,Plaid,Pearl White,Electric,Automatic,75882.54,2026-03-01,2026-05-04,California,344.0,0,86.9,8.2,5,155.4,608
Tesla Model S,Performance,Stealth Grey,Electric,Automatic,79667.2,2025-04-23,2025-05-09,Washington,398.3,0,92.2,6.4,5,167.1,533
Tesla Cybertruck,Performance,Stealth Grey,Electric,Automatic,66973.39,2025-11-21,2025-12-05,Oregon,349.5,0,90.7,10.3,5,154.5,539
Tesla Model S,Long Range,Midnight Silver Metallic,Electric,Automatic,82624.93,2025-11-05,2026-01-13,New York,345.3,0,74.3,11.2,5,161.7,617
Tesla Model S,Performance,Midnight Silver Metallic,Electric,Automatic,85876.95,2024-12-10,2025-02-13,Florida,343.6,0,95.8,5.8,5,147.8,444
Tesla Roadster,Plaid,Red Multi-Coat,Electric,Automatic,242553.04,2025-08-02,2025-08-26,Illinois,476.7,0,83.9,5.0,5,143.7,467
Tesla Cybertruck,Long Range,Stealth Grey,Electric,Automatic,73671.01,2025-04-25,2025-07-10,Florida,465.5,0,81.5,1.8,5,147.3,475
Tesla Model X,Plaid,Ultra Red,Electric,Automatic,102906.88,2025-11-26,2026-01-07,Connecticut,316.7,0,66.6,2.8,7,164.1,864
Tesla Model Y,Plaid,Deep Blue Metallic,Electric,Automatic,64864.35,2025-09-14,2025-10-27,New York,267.9,0,87.2,0.6,7,159.1,730
Tesla Model X,Standard Range,Red Multi-Coat,Electric,Automatic,131371.94,2024-11-29,2025-01-14,Arizona,333.3,0,93.6,11.6,7,169.5,803
Tesla Model 3,Standard Range,Red Multi-Coat,Electric,Automatic,44512.78,2024-06-29,2024-06-30,New York,321.3,0,73.1,1.0,5,166.5,611
Tesla Cybertruck,Performance,Red Multi-Coat,Electric,Automatic,55350.38,2025-03-21,2025-06-07,Maryland,413.3,0,83.4,0.7,5,156.3,564
Tesla Model Y,Standard Range,Midnight Silver Metallic,Electric,Automatic,50666.9,2024-05-21,2024-06-04,Maryland,322.4,0,98.8,2.4,7,167.8,841
Tesla Model 3,Plaid,Ultra Red,Electric,Automatic,53649.39,2024-08-19,2024-11-08,Colorado,299.0,0,91.0,7.2,5,159.5,459
Tesla Cybertruck,Performance,Deep Blue Metallic,Electric,Automatic,74523.32,2025-10-05,2025-12-14,Nevada,252.5,0,71.6,2.1,5,142.3,580
Tesla Model S,Performance,Pearl White,Electric,Automatic,102912.64,2025-04-22,2025-06-06,Washington,403.2,0,62.9,6.9,5,140.0,535
Tesla Roadster,Long Range,Ultra Red,Electric,Automatic,245033.11,2025-05-25,2025-08-11,Oregon,540.1,0,90.7,7.8,5,155.7,595
Tesla Model 3,Long Range,Pearl White,Electric,Automatic,50838.46,2024-12-01,2025-01-11,Maryland,303.6,0,75.2,9.5,5,157.8,481
Tesla Model S,Plaid,Stealth Grey,Electric,Automatic,77411.26,2025-04-07,2025-06-05,Oregon,341.6,0,71.8,10.3,5,167.8,449
Tesla Model X,Long Range,Red Multi-Coat,Electric,Automatic,96463.82,2025-09-02,2025-11-06,Maryland,347.4,0,63.0,9.7,7,153.7,609
Tesla Cybertruck,Standard Range,Deep Blue Metallic,Electric,Automatic,50707.88,2025-10-19,2025-12-13,Arizona,495.9,0,70.3,5.8,5,148.8,639
Tesla Cybertruck,Standard Range,Ultra Red,Electric,Automatic,78094.48,2025-06-18,2025-09-04,Texas,260.9,0,66.4,9.4,5,155.4,650
Tesla Roadster,Standard Range,Stealth Grey,Electric,Automatic,241017.03,2025-12-20,2026-03-07,Massachusetts,427.2,0,98.5,11.9,5,151.2,643
Tesla Model X,Plaid,Midnight Silver Metallic,Electric,Automatic,81556.89,2025-02-04,2025-03-28,Nevada,323.6,0,72.5,2.3,7,152.2,564
Tesla Model X,Standard Range,Ultra Red,Electric,Automatic,128239.58,2025-04-20,2025-05-28,Nevada,332.6,0,61.4,1.9,7,165.1,677
Tesla Model X,Long Range,Pearl White,Electric,Automatic,109821.24,2024-08-30,2024-10-05,Arizona,318.5,0,62.2,8.6,7,163.6,626
Tesla Model 3,Long Range,Stealth Grey,Electric,Automatic,41522.94,2024-06-03,2024-08-29,Virginia,285.3,0,97.6,2.8,5,164.8,598
Tesla Model Y,Standard Range,Red Multi-Coat,Electric,Automatic,44532.91,2024-10-13,2024-12-29,Oregon,280.0,0,67.5,4.4,7,149.1,644
Tesla Model S,Standard Range,Red Multi-Coat,Electric,Automatic,79566.93,2025-10-17,2025-10-23,Illinois,382.7,0,91.3,3.7,5,151.1,519
Tesla Model X,Standard Range,Red Multi-Coat,Electric,Automatic,80636.45,2025-10-23,2026-01-05,Texas,316.8,0,75.1,0.7,7,152.0,518
Tesla Model X,Standard Range,Ultra Red,Electric,Automatic,121306.09,2025-03-24,2025-03-30,Maryland,306.3,0,92.1,1.7,7,164.4,840
Tesla Model X,Performance,Midnight Silver Metallic,Electric,Automatic,81465.04,2025-01-03,2025-01-20,Illinois,314.3,0,89.3,11.1,7,141.8,570
Tesla Cybertruck,Standard Range,Deep Blue Metallic,Electric,Automatic,59045.9,2025-12-03,2026-02-13,Illinois,366.8,0,76.3,5.4,5,142.0,524
Tesla Cybertruck,Performance,Solid Black,Electric,Automatic,75371.39,2024-10-16,2024-11-06,Nevada,382.6,0,88.8,10.0,5,157.0,635
Tesla Model 3,Performance,Ultra Red,Electric,Automatic,52875.44,2024-10-13,2025-01-11,Massachusetts,294.6,0,68.7,9.4,5,143.0,572
Tesla Model X,Long Range,Midnight Silver Metallic,Electric,Automatic,127758.84,2025-08-19,2025-09-04,New York,335.7,0,80.6,11.0,7,163.8,828
Tesla Roadster,Long Range,Midnight Silver Metallic,Electric,Automatic,227436.16,2026-03-16,2026-04-10,New Jersey,426.0,0,71.7,9.7,5,142.4,551
Tesla Model X,Long Range,Red Multi-Coat,Electric,Automatic,127221.24,2024-10-23,2025-01-07,Illinois,305.6,0,93.4,2.9,7,156.9,836
Tesla Cybertruck,Plaid,Red Multi-Coat,Electric,Automatic,51931.27,2026-02-19,2026-03-12,Washington,452.0,0,85.3,11.9,5,164.8,555
Tesla Model S,Plaid,Midnight Silver Metallic,Electric,Automatic,104002.88,2025-09-24,2025-10-31,Oregon,323.9,0,88.5,5.1,5,166.5,615
Tesla Model X,Plaid,Solid Black,Electric,Automatic,103745.0,2024-04-11,2024-05-08,Oregon,327.1,0,65.1,11.3,7,142.8,861
Tesla Model Y,Long Range,Ultra Red,Electric,Automatic,56396.4,2025-03-18,2025-03-30,Washington,295.8,0,96.8,9.4,7,168.0,507
Tesla Cybertruck,Performance,Ultra Red,Electric,Automatic,74654.47,2026-01-20,2026-01-31,Florida,408.1,0,87.8,7.8,5,146.3,495
Tesla Model Y,Long Range,Ultra Red,Electric,Automatic,62691.8,2025-05-06,2025-07-31,Virginia,299.6,0,67.6,8.9,7,167.9,737
Tesla Model S,Standard Range,Stealth Grey,Electric,Automatic,97639.48,2024-05-31,2024-06-11,Connecticut,336.8,0,65.8,1.4,5,156.6,536
Tesla Model S,Standard Range,Midnight Silver Metallic,Electric,Automatic,126510.32,2025-10-06,2025-11-27,Illinois,349.2,0,61.4,6.9,5,147.8,461
Tesla Cybertruck,Performance,Solid Black,Electric,Automatic,53148.63,2024-12-28,2025-02-24,Oregon,409.4,0,69.1,4.9,5,153.2,486
Tesla Model S,Plaid,Solid Black,Electric,Automatic,123862.12,2024-08-11,2024-10-23,Colorado,324.9,0,70.9,11.0,5,163.7,434
Tesla Cybertruck,Performance,Solid Black,Electric,Automatic,79530.57,2025-06-15,2025-08-03,Washington,309.6,0,73.7,7.8,5,147.1,633
Tesla Cybertruck,Plaid,Solid Black,Electric,Automatic,77800.08,2026-02-20,2026-05-05,Washington,261.0,0,77.9,6.2,5,149.5,488
Tesla Model S,Performance,Pearl White,Electric,Automatic,103956.34,2024-06-20,2024-07-06,Massachusetts,378.0,0,62.4,8.2,5,143.6,474
Tesla Model S,Performance,Ultra Red,Electric,Automatic,93643.5,2025-12-22,2026-01-11,Nevada,355.4,0,68.4,8.4,5,167.6,447
Tesla Cybertruck,Plaid,Solid Black,Electric,Automatic,52429.3,2024-08-15,2024-10-06,Florida,411.8,0,86.0,8.9,5,149.8,637
Tesla Model 3,Standard Range,Ultra Red,Electric,Automatic,45244.68,2025-05-23,2025-06-02,California,319.3,0,73.9,4.2,5,147.7,611
Tesla Model Y,Standard Range,Red Multi-Coat,Electric,Automatic,44009.22,2024-07-05,2024-07-29,Virginia,328.9,0,96.7,3.0,7,163.0,656
Tesla Model S,Plaid,Ultra Red,Electric,Automatic,125188.99,2024-06-14,2024-08-23,Arizona,354.0,0,80.3,3.9,5,143.9,441
Tesla Roadster,Long Range,Red Multi-Coat,Electric,Automatic,207582.21,2024-05-28,2024-07-01,Washington,592.7,0,95.5,10.8,5,140.7,458
Tesla Model Y,Plaid,Midnight Silver Metallic,Electric,Automatic,44855.13,2025-04-23,2025-04-25,New York,262.0,0,92.7,11.3,7,152.1,810
Tesla Model Y,Long Range,Red Multi-Coat,Electric,Automatic,51954.41,2026-01-11,2026-02-08,Maryland,272.7,0,72.4,1.4,7,169.0,710
Tesla Roadster,Plaid,Solid Black,Electric,Automatic,208213.03,2024-11-24,2024-12-11,Oregon,533.8,0,72.7,9.3,5,147.8,528
Tesla Cybertruck,Standard Range,Solid Black,Electric,Automatic,76588.26,2024-10-11,2024-10-25,Massachusetts,411.0,0,65.5,8.2,5,155.8,537
Tesla Model S,Performance,Pearl White,Electric,Automatic,126152.16,2024-12-12,2025-01-16,Virginia,325.3,0,89.0,4.1,5,168.0,554
Tesla Model X,Standard Range,Deep Blue Metallic,Electric,Automatic,89242.19,2025-11-26,2025-11-30,Florida,324.7,0,92.2,9.1,7,163.5,552
Tesla Model 3,Plaid,Deep Blue Metallic,Electric,Automatic,50592.47,2025-07-13,2025-08-05,Colorado,329.8,0,64.3,1.6,5,154.9,450
Tesla Model X,Plaid,Solid Black,Electric,Automatic,135528.2,2024-10-09,2024-11-22,Texas,310.2,0,84.4,10.5,7,141.0,674
Tesla Model 3,Long Range,Ultra Red,Electric,Automatic,40840.72,2025-08-11,2025-10-27,Massachusetts,317.5,0,84.3,10.6,5,150.8,450
Tesla Model Y,Standard Range,Red Multi-Coat,Electric,Automatic,57989.38,2025-08-31,2025-11-04,Colorado,297.5,0,90.9,7.8,7,150.7,654
Tesla Model S,Plaid,Deep Blue Metallic,Electric,Automatic,76605.22,2024-03-26,2024-05-23,Washington,395.4,0,79.2,9.8,5,159.7,530
Tesla Model X,Long Range,Stealth Grey,Electric,Automatic,89691.26,2025-08-14,2025-10-05,New Jersey,347.2,0,84.7,6.5,7,159.5,619
Tesla Model 3,Standard Range,Ultra Red,Electric,Automatic,42083.47,2024-10-19,2024-12-19,Nevada,314.1,0,88.3,8.9,5,154.6,515
Tesla Model Y,Performance,Pearl White,Electric,Automatic,44262.56,2025-11-05,2025-12-08,Oregon,320.3,0,86.0,8.1,7,147.8,586
Tesla Model 3,Standard Range,Stealth Grey,Electric,Automatic,52969.41,2025-02-01,2025-02-12,California,281.9,0,90.7,3.7,5,148.8,562
Tesla Model X,Performance,Ultra Red,Electric,Automatic,111328.61,2025-12-16,2026-03-09,California,317.3,0,81.2,2.2,7,164.5,846
Tesla Model 3,Performance,Midnight Silver Metallic,Electric,Automatic,45020.8,2025-01-21,2025-04-10,California,300.9,0,84.6,8.3,5,152.1,607
Tesla Model X,Plaid,Deep Blue Metallic,Electric,Automatic,126967.24,2025-06-28,2025-09-16,Maryland,325.3,0,99.6,0.9,7,140.2,461
Tesla Roadster,Plaid,Ultra Red,Electric,Automatic,215448.96,2025-02-05,2025-04-23,Connecticut,598.2,0,94.8,3.5,5,160.4,628
Tesla Cybertruck,Long Range,Ultra Red,Electric,Automatic,74685.86,2025-05-26,2025-08-14,Colorado,300.8,0,77.8,5.6,5,156.1,472
Tesla Cybertruck,Long Range,Midnight Silver Metallic,Electric,Automatic,66257.03,2025-09-18,2025-09-29,Nevada,341.0,0,84.1,7.1,5,155.4,605
Tesla Model X,Long Range,Midnight Silver Metallic,Electric,Automatic,103462.37,2024-12-13,2024-12-29,Massachusetts,346.8,0,60.5,4.8,7,148.5,748
Tesla Roadster,Standard Range,Solid Black,Electric,Automatic,214150.88,2024-07-25,2024-08-20,Texas,579.8,0,90.8,6.7,5,161.4,531
Tesla Roadster,Standard Range,Red Multi-Coat,Electric,Automatic,247026.37,2025-06-09,2025-08-11,Arizona,606.0,0,67.9,6.7,5,146.2,499
Tesla Model S,Standard Range,Stealth Grey,Electric,Automatic,123093.91,2024-08-13,2024-11-07,Massachusetts,353.8,0,86.7,9.1,5,156.4,573
Tesla Model 3,Standard Range,Pearl White,Electric,Automatic,45753.52,2025-03-23,2025-05-25,Colorado,281.4,0,64.8,6.0,5,158.3,457
Tesla Model 3,Plaid,Ultra Red,Electric,Automatic,49221.37,2024-10-11,2024-10-12,Virginia,276.7,0,69.8,6.8,5,151.9,562
Tesla Model S,Performance,Deep Blue Metallic,Electric,Automatic,102486.2,2024-09-04,2024-10-10,Nevada,361.4,0,80.1,11.7,5,169.9,584
Tesla Model X,Performance,Deep Blue Metallic,Electric,Automatic,98023.23,2024-09-18,2024-10-19,Texas,322.6,0,68.5,9.6,7,159.2,780
Tesla Cybertruck,Performance,Midnight Silver Metallic,Electric,Automatic,68484.3,2025-03-12,2025-06-07,Texas,277.2,0,94.2,10.4,5,157.8,488
Tesla Cybertruck,Long Range,Midnight Silver Metallic,Electric,Automatic,50554.9,2024-07-31,2024-08-09,Virginia,470.1,0,88.0,4.3,5,150.7,625
Tesla Cybertruck,Standard Range,Ultra Red,Electric,Automatic,66753.69,2025-10-29,2025-12-25,Washington,330.2,0,91.6,2.0,5,163.7,501
Tesla Model S,Plaid,Stealth Grey,Electric,Automatic,116144.21,2025-03-12,2025-05-11,Massachusetts,336.3,0,90.1,3.6,5,149.6,624
Tesla Model Y,Plaid,Midnight Silver Metallic,Electric,Automatic,53370.88,2026-03-05,2026-03-20,Virginia,316.4,0,96.9,2.6,7,163.5,592
Tesla Model 3,Long Range,Red Multi-Coat,Electric,Automatic,45539.32,2024-05-07,2024-07-15,Colorado,278.8,0,67.0,6.7,5,152.7,600
Tesla Model 3,Long Range,Ultra Red,Electric,Automatic,51745.76,2024-04-29,2024-05-28,New York,332.0,0,79.5,6.7,5,155.0,507
Tesla Roadster,Long Range,Stealth Grey,Electric,Automatic,237728.37,2025-07-13,2025-08-19,Washington,547.8,0,77.0,7.6,5,163.1,572
Tesla Model 3,Performance,Red Multi-Coat,Electric,Automatic,51958.57,2025-06-29,2025-07-21,Oregon,300.2,0,85.7,4.1,5,162.1,564
Tesla Model X,Long Range,Pearl White,Electric,Automatic,81463.88,2025-09-15,2025-11-04,Nevada,335.5,0,87.9,8.5,7,144.1,894
Tesla Roadster,Plaid,Pearl White,Electric,Automatic,237351.1,2024-10-08,2024-10-22,Washington,543.1,0,73.4,4.3,5,158.0,450
Tesla Roadster,Standard Range,Solid Black,Electric,Automatic,207097.48,2024-05-29,2024-06-30,Colorado,484.8,0,95.1,6.5,5,164.5,458
Tesla Model S,Long Range,Red Multi-Coat,Electric,Automatic,107029.14,2024-05-07,2024-07-28,Massachusetts,380.1,0,65.2,3.5,5,141.9,555
Tesla Model Y,Performance,Solid Black,Electric,Automatic,53463.54,2025-05-24,2025-08-06,Washington,318.8,0,83.0,2.0,7,151.9,760
Tesla Cybertruck,Long Range,Deep Blue Metallic,Electric,Automatic,67520.69,2025-06-18,2025-08-04,New Jersey,279.8,0,88.2,5.6,5,169.2,576
Tesla Cybertruck,Performance,Stealth Grey,Electric,Automatic,79567.28,2025-11-22,2025-12-11,Massachusetts,310.1,0,82.7,2.6,5,144.8,466
Tesla Roadster,Plaid,Stealth Grey,Electric,Automatic,232423.17,2026-02-27,2026-05-01,Florida,481.5,0,61.8,8.0,5,143.0,431
Tesla Model X,Plaid,Pearl White,Electric,Automatic,119859.63,2025-09-26,2025-11-22,Florida,338.2,0,87.2,10.1,7,146.5,623
Tesla Model Y,Performance,Ultra Red,Electric,Automatic,63826.91,2025-10-19,2025-10-30,Florida,329.0,0,69.8,9.3,7,149.1,596
Tesla Roadster,Long Range,Ultra Red,Electric,Automatic,209361.82,2024-09-27,2024-11-14,Oregon,550.0,0,78.7,7.5,5,162.6,501
Tesla Model 3,Standard Range,Stealth Grey,Electric,Automatic,51349.74,2026-03-03,2026-04-15,Colorado,294.8,0,74.0,7.2,5,163.8,509
Tesla Model Y,Standard Range,Solid Black,Electric,Automatic,65417.74,2025-11-01,2025-11-03,Oregon,319.0,0,89.0,2.0,7,147.6,691
Tesla Model S,Standard Range,Deep Blue Metallic,Electric,Automatic,120586.64,2026-03-21,2026-06-02,Massachusetts,349.8,0,65.6,5.6,5,164.9,497
Tesla Cybertruck,Plaid,Stealth Grey,Electric,Automatic,73460.23,2025-12-22,2025-12-25,Massachusetts,340.7,0,97.5,10.5,5,162.6,642
Tesla Model S,Long Range,Red Multi-Coat,Electric,Automatic,97153.55,2024-08-14,2024-08-16,Illinois,394.5,0,70.7,7.4,5,159.7,570
Tesla Cybertruck,Performance,Red Multi-Coat,Electric,Automatic,50897.89,2025-04-13,2025-07-03,Florida,356.7,0,62.4,1.0,5,147.4,499
Tesla Model Y,Standard Range,Red Multi-Coat,Electric,Automatic,50467.62,2025-01-12,2025-03-25,Florida,309.9,0,99.7,5.6,7,148.6,831
Tesla Model X,Performance,Deep Blue Metallic,Electric,Automatic,90614.09,2025-09-01,2025-09-22,Florida,342.7,0,87.4,1.6,7,165.8,573
Tesla Roadster,Performance,Midnight Silver Metallic,Electric,Automatic,241325.84,2024-09-17,2024-11-06,New Jersey,539.0,0,81.8,10.2,5,143.4,478
Tesla Model 3,Performance,Stealth Grey,Electric,Automatic,40589.48,2024-10-12,2024-11-09,Oregon,331.7,0,75.5,6.6,5,158.0,630
Tesla Model S,Long Range,Solid Black,Electric,Automatic,79789.16,2025-08-29,2025-10-30,Nevada,404.9,0,82.8,10.3,5,144.8,467
Tesla Cybertruck,Standard Range,Stealth Grey,Electric,Automatic,65948.21,2024-12-07,2025-01-06,New Jersey,330.8,0,71.2,0.6,5,143.8,495
Tesla Cybertruck,Plaid,Solid Black,Electric,Automatic,61067.09,2025-04-29,2025-06-11,New Jersey,493.4,0,93.4,9.2,5,142.6,552
Tesla Roadster,Plaid,Ultra Red,Electric,Automatic,200923.14,2026-02-28,2026-04-17,Florida,598.9,0,93.3,11.1,5,150.9,431
Tesla Model 3,Performance,Ultra Red,Electric,Automatic,49516.69,2024-10-01,2024-11-18,California,291.5,0,93.8,2.8,5,159.4,478
Tesla Roadster,Long Range,Stealth Grey,Electric,Automatic,225116.58,2025-11-14,2025-11-20,Maryland,563.9,0,85.5,6.4,5,167.1,540
Tesla Model S,Long Range,Ultra Red,Electric,Automatic,80319.1,2024-10-30,2024-11-15,Nevada,378.7,0,66.1,4.1,5,164.6,648
Tesla Roadster,Standard Range,Pearl White,Electric,Automatic,216536.38,2024-08-26,2024-11-06,Washington,493.8,0,73.3,4.1,5,165.4,522
Tesla Roadster,Long Range,Ultra Red,Electric,Automatic,227325.41,2025-12-12,2025-12-15,Illinois,485.4,0,80.5,11.7,5,148.3,472
Tesla Model 3,Standard Range,Red Multi-Coat,Electric,Automatic,43094.01,2025-05-21,2025-08-03,California,270.7,0,65.4,7.1,5,165.6,485
